"标识","编码","名称","上级"
"405000000","405","配套通信设备","数据通信设备"
"405010100","4050101","中间配线架","配套通信设备（增值业务）"
"405010700","4050107","光纤收发器","配套通信设备（增值业务）"
"406010100","4060101","交换器","网络设备"
"406010102","406010102","板卡","交换器"
"406010201","406010201","路由器机框","路由器"
"406010202","406010202","路由器板卡","路由器"
"406020100","4060201","刀片服务器","CDN设备"
"406020300","4060203","存储服务器","CDN设备"
"402020100","4020201","分组式（X.25）终端设备","分组交换网（PAC）终端设备"
"402030301","402030301","基本框","协议转换器"
"402040301","402040301","高阶数字交叉连接设备插卡","高阶数字交叉连接设备（DXC）"
"402040900","4020409","G.703-V.35接口转换器","数字数据网（DDN）网络设备"
"402060600","4020606","智能数字配线架（IDF）","数字数据网（DDN）其它配套设备"
"402070100","4020701","专用帧中继交换机","帧中继网（FR）网络设备"
"402070201","402070201","帧中继节点机框","帧中继节点机"
"401010400","4010104","八路载波插报机","传输设备"
"401020300","4010203","电报自动测试设备","电报设备"
"401020800","4010208","电报分组服务器","电报设备"
"401030600","4010306","用户电报和低速数据集中器","非话交换设备"
"507010202","507010202","局域网交换机板卡","局域网交换机"
"507010301","507010301","基本框","光纤通道交换机"
"507010500","5070105","调制解调器","组网设备"
"507010601","507010601","基本框","协议转换器"
"507010702","507010702","防火墙板卡","防火墙"
"507011000","5070110","光转换器","组网设备"
"507011300","5070113","网管维护终端","组网设备"
"507011400","5070114","标准机架","组网设备"
"507020000","50702","计算机主设备","运营支撑系统OSS"
"507020200","5070202","工作站","计算机主设备"
"507030100","5070301","磁带库","存储设备"
"507030200","5070302","磁盘阵列","存储设备"
"507030400","5070304","ZIP驱动器","存储设备"
"508010000","50801","组网设备","其他支撑网系统设备"
"508010101","508010101","路由器机框","路由器"
"508010201","508010201","基本框","局域网交换机"
"508010300","5080103","光纤通道交换机","组网设备"
"508010601","508010601","基本框","协议转换器"
"508010702","508010702","防火墙板卡","防火墙"
"508010900","5080109","集线器","组网设备"
"508011200","5080112","网管存储设备","组网设备"
"508020400","5080204","终端设备","计算机主设备"
"508020500","5080205","接入服务器","计算机主设备"
"508030100","5080301","磁带库","存储设备"
"508040100","5080401","数据采集设备","数据采集设备"
"507010700","5070107","防火墙","组网设备"
"507011100","5070111","网管服务器","组网设备"
"507020300","5070203","小型机","计算机主设备"
"507030300","5070303","光盘库","存储设备"
"507040000","50704","数据采集设备","运营支撑系统OSS"
"508010700","5080107","防火墙","组网设备"
"508011100","5080111","网管服务器","组网设备"
"508020300","5080203","小型机","计算机主设备"
"508020600","5080206","大型一体机","计算机主设备"
"508040000","50804","数据采集设备","其他支撑网系统设备"
"502000000","502","长途交换网业务支撑系统BSS","企业信息系统设备"
"507030000","50703","存储设备","运营支撑系统OSS"
"501010800","5010108","时隙复用设备","组网设备"
"501020600","5010206","大型一体机","计算机主设备"
"502010300","5020103","光纤通道交换机","组网设备"
"502020300","5020203","小型机","计算机主设备"
"503011200","5030112","网管存储设备","组网设备"
"503020600","5030206","大型一体机","计算机主设备"
"504010100","5040101","路由器","组网设备"
"504030400","5040304","ZIP驱动器","存储设备"
"505011400","5050114","标准机架","组网设备"
"506010700","5060107","防火墙","组网设备"
"506011400","5060114","标准机架","组网设备"
"506050100","5060501","话费查询设备","其他BSS设备"
"507011200","5070112","网管存储设备","组网设备"
"507040100","5070401","数据采集设备","数据采集设备"
"508011000","5080110","光转换器","组网设备"
"508030400","5080304","ZIP驱动器","存储设备"
"509021300","5090213","光转换器","云资源管理设备"
"510010500","5100105","其他安全设备","网络安全设备"
"504011500","5040115","负载均衡设备","组网设备"
"505040100","5050401","数据采集设备","数据采集设备"
"501010102","501010102","路由器板卡","路由器"
"501011001","501011001","光转换器板卡","光转换器"
"503010602","503010602","协议转换器板卡","协议转换器"
"504010201","504010201","局域网交换机机框","局域网交换机"
"506010302","506010302","协议转换器板卡","光纤通道交换机"
"507011001","507011001","光转换器板卡","光转换器"
"508010302","508010302","协议转换器板卡","光纤通道交换机"
"509010802","509010802","交换机板卡","交换机"
"509020801","509020801","交换机机框","交换机"
"504000000","504","智能网业务支撑系统BSS","企业信息系统设备"
"508000000","508","其他支撑网系统设备","企业信息系统设备"
"502020000","50202","计算机主设备","长途交换网业务支撑系统BSS"
"504020000","50402","计算机主设备","智能网业务支撑系统BSS"
"508020000","50802","计算机主设备","其他支撑网系统设备"
"504010000","50401","组网设备","智能网业务支撑系统BSS"
"501010400","5010104","线路复用设备","组网设备"
"501020500","5010205","接入服务器","计算机主设备"
"501040100","5010401","数据采集设备","数据采集设备"
"502020600","5020206","大型一体机","计算机主设备"
"503010200","5030102","局域网交换机","组网设备"
"503030300","5030303","光盘库","存储设备"
"504030500","5040305","外存储设备","存储设备"
"505010400","5050104","线路复用设备","组网设备"
"505011100","5050111","网管服务器","组网设备"
"505020200","5050202","工作站","计算机主设备"
"505030500","5050305","外存储设备","存储设备"
"506010600","5060106","协议转换器","组网设备"
"506020100","5060201","服务器","计算机主设备"
"506030400","5060304","ZIP驱动器","存储设备"
"506050500","5060505","话务员座席台","其他BSS设备"
"507010900","5070109","集线器","组网设备"
"507020100","5070201","服务器","计算机主设备"
"507030500","5070305","外存储设备","存储设备"
"508011400","5080114","标准机架","组网设备"
"508030500","5080305","外存储设备","存储设备"
"502040100","5020401","数据采集设备","数据采集设备"
"509010400","5090104","磁带库","云资源池设备"
"509010800","5090108","交换机","云资源池设备"
"509011300","5090113","光转换器","云资源池设备"
"509020600","5090206","光纤通道交换机","云资源管理设备"
"510010100","5100101","web应用防火墙","网络安全设备"
"501020100","5010201","服务器","计算机主设备"
"502011300","5020113","网管维护终端","组网设备"
"504010300","5040103","光纤通道交换机","组网设备"
"505030100","5050301","磁带库","存储设备"
"506011500","5060115","负载均衡设备","组网设备"
"501010201","501010201","局域网交换机机框","局域网交换机"
"502010102","502010102","路由器板卡","路由器"
"502010501","502010501","调制解调器板卡","调制解调器"
"503010201","503010201","局域网交换机机框","局域网交换机"
"504010202","504010202","局域网交换机板卡","局域网交换机"
"509010000","50901","云资源池设备","云信息化设备"
"509010200","5090102","小型机","云资源池设备"
"509010300","5090103","终端设备","云资源池设备"
"509010500","5090105","磁盘阵列","云资源池设备"
"509010700","5090107","路由器","云资源池设备"
"509010702","509010702","路由器板卡","路由器"
"509010801","509010801","交换机机框","交换机"
"509010900","5090109","负载均衡设备","云资源池设备"
"509010901","509010901","负载均衡设备机框","负载均衡设备"
"509011000","5090110","防火墙","云资源池设备"
"509011100","5090111","IPS设备","云资源池设备"
"509020200","5090202","小型机","云资源管理设备"
"509020300","5090203","终端设备","云资源管理设备"
"509020701","509020701","路由器机框","路由器"
"509020802","509020802","交换机板卡","交换机"
"509021000","5090210","防火墙","云资源管理设备"
"509021200","5090212","防DDoS设备","云资源管理设备"
"510010200","5100102","入侵检测设备","网络安全设备"
"510010300","5100103","流量监测设备","网络安全设备"
"501020400","5010204","终端设备","计算机主设备"
"501030000","50103","存储设备","管理支撑系统MSS"
"501040000","50104","数据采集设备","管理支撑系统MSS"
"502010100","5020101","路由器","组网设备"
"502011000","5020110","光转换器","组网设备"
"502020100","5020201","服务器","计算机主设备"
"502030000","50203","存储设备","长途交换网业务支撑系统BSS"
"503010202","503010202","局域网交换机板卡","局域网交换机"
"503010400","5030104","线路复用设备","组网设备"
"503020200","5030202","工作站","计算机主设备"
"503020500","5030205","接入服务器","计算机主设备"
"504010102","504010102","路由器板卡","路由器"
"504010602","504010602","协议转换器板卡","协议转换器"
"504010900","5040109","集线器","组网设备"
"504020600","5040206","大型一体机","计算机主设备"
"504030200","5040302","磁盘阵列","存储设备"
"505020400","5050204","终端设备","计算机主设备"
"505030400","5050304","ZIP驱动器","存储设备"
"506010800","5060108","时隙复用设备","组网设备"
"506011100","5060111","网管服务器","组网设备"
"506020600","5060206","大型一体机","计算机主设备"
"507000000","507","运营支撑系统OSS","企业信息系统设备"
"507010501","507010501","调制解调器板卡","调制解调器"
"505010501","505010501","调制解调器板卡","调制解调器"
"505011001","505011001","光转换器板卡","光转换器"
"506010501","506010501","调制解调器板卡","调制解调器"
"507010602","507010602","协议转换器板卡","协议转换器"
"508010202","508010202","局域网交换机板卡","局域网交换机"
"502010301","502010301","光纤通道交换机机框","光纤通道交换机"
"505010702","505010702","防火墙板卡","防火墙"
"509010902","509010902","负载均衡设备板卡","负载均衡设备"
"509020902","509020902","负载均衡设备板卡","负载均衡设备"
"507010102","507010102","路由器板卡","路由器"
"503000000","503","本地交换网业务支撑系统BSS","企业信息系统设备"
"503040000","50304","数据采集设备","本地交换网业务支撑系统BSS"
"505040000","50504","数据采集设备","数据通信网业务支撑系统BSS"
"501010700","5010107","防火墙","组网设备"
"501011500","5010115","负载均衡设备","组网设备"
"502010900","5020109","集线器","组网设备"
"502020500","5020205","接入服务器","计算机主设备"
"503020100","5030201","服务器","计算机主设备"
"504011200","5040112","网管存储设备","组网设备"
"504030300","5040303","光盘库","存储设备"
"505010300","5050103","光纤通道交换机","组网设备"
"505030200","5050302","磁盘阵列","存储设备"
"506010900","5060109","集线器","组网设备"
"506040100","5060401","数据采集设备","数据采集设备"
"507020400","5070204","终端设备","计算机主设备"
"507011500","5070115","负载均衡设备","组网设备"
"508010800","5080108","时隙复用设备","组网设备"
"502030300","5020303","光盘库","存储设备"
"504010800","5040108","时隙复用设备","组网设备"
"507010400","5070104","线路复用设备","组网设备"
"503030200","5030302","磁盘阵列","存储设备"
"503011100","5030111","网管服务器","组网设备"
"509010600","5090106","光纤通道交换机","云资源池设备"
"509020100","5090201","服务器","云资源管理设备"
"510010400","5100104","入侵防护设备","网络安全设备"
"502010600","5020106","协议转换器","组网设备"
"503010800","5030108","时隙复用设备","组网设备"
"504011100","5040111","网管服务器","组网设备"
"506010500","5060105","调制解调器","组网设备"
"507010300","5070103","光纤通道交换机","组网设备"
"501010302","501010302","光纤通道交换机板卡","光纤通道交换机"
"502010202","502010202","局域网交换机板卡","局域网交换机"
"503010702","503010702","防火墙板卡","防火墙"
"504010501","504010501","调制解调器板卡","调制解调器"
"505010101","505010101","路由器机框","路由器"
"505010701","505010701","防火墙机框","防火墙"
"506010702","506010702","防火墙板卡","防火墙"
"507010701","507010701","防火墙机框","防火墙"
"508010602","508010602","协议转换器板卡","协议转换器"
"507010302","507010302","协议转换器板卡","光纤通道交换机"
"506010101","506010101","路由器机框","路由器"
"503010701","503010701","防火墙机框","防火墙"
"509020901","509020901","负载均衡设备机框","负载均衡设备"
"506010601","506010601","协议转换器机框","协议转换器"
"601000000","601","卫星通信系统","应急通信设备"
"601010000","60101","甚小天线地球站（VSAT）","卫星通信系统"
"601010100","6010101","主控站","甚小天线地球站（VSAT）"
"601010300","6010103","移动站","甚小天线地球站（VSAT）"
"601010400","6010104","车载站","甚小天线地球站（VSAT）"
"601020100","6010201","车载地球站（Ku频段）","车载卫星通信"
"601020300","6010203","车载地球站（C频段）","车载卫星通信"
"601020400","6010204","可搬移地球小站（C频段）","车载卫星通信"
"601020500","6010205","便携地球小站（C/Ku频段）","车载卫星通信"
"601030000","60103","海事卫星通信","卫星通信系统"
"601030100","6010301","A站","海事卫星通信"
"601030300","6010303","M站","海事卫星通信"
"601030400","6010304","Mini—M站","海事卫星通信"
"601030600","6010306","卫星通信系统（海事卫星通信M4站）","海事卫星通信"
"601030700","6010307","海事卫星全球宽带局域网（BGAN）","海事卫星通信"
"601040000","60104","全球星通信设备","卫星通信系统"
"601040100","6010401","终端手机","全球星通信设备"
"601050000","60105","铱星终端设备","卫星通信系统"
"601050100","6010501","铱星终端(9555)","铱星终端设备"
"602010100","6020101","一点多址通信车（中心站）","模拟一点多址微波"
"602010200","6020102","一点多址外围站","模拟一点多址微波"
"602030000","60203","模拟微波系统","微波通信"
"602030100","6020301","车载微波系统（含PCM设备）","模拟微波系统"
"602040100","6020401","便携式小站","数字微波"
"602040300","6020403","宽带微波","数字微波"
"603000000","603","特高频通信","应急通信设备"
"603010200","6030102","模拟特高频","模拟设备"
"603020100","6030201","车载特高频","数字设备"
"603020200","6030202","数字特高频","数字设备"
"604010000","60401","接入设备","无线接入"
"604010200","6040102","外围站","接入设备"
"604010300","6040103","终端设备","接入设备"
"605010100","6050101","0900兆移动通信车","模拟设备"
"605020100","6050201","GSM移动通信车","数字设备"
"605020200","6050202","CDMA移动通信车","数字设备"
"606000000","606","短波","应急通信设备"
"606010000","60601","电台","短波"
"606010200","6060102","02050W车载短波电台","电台"
"606010600","6060106","单边带电台","电台"
"606020100","6060201","短波车","移动设备"
"607010100","6070101","小程控交换机","数字程控电话交换设备"
"607010300","6070103","可搬移02000线（长市合一）","数字程控电话交换设备"
"607010500","6070105","程控交换车","数字程控电话交换设备"
"608010100","6080101","柴油发电车","车载柴油发电设备"
"608020100","6080201","柴油发电机","柴油发电设备"
"608030100","6080301","便携汽油发电机","汽油发电机设备"
"609000000","609","配套装备","应急通信设备"
"609020000","60902","终端","配套装备"
"609020100","6090201","用户通信终端车","终端"
"609030100","6090301","后勤炊事车","炊事车"
"609060000","60906","集群通信","配套装备"
"609060100","6090601","集群通信系统车","集群通信"
"609070100","6090701","应急指挥平台","指挥平台"
"607010200","6070102","车载1000线（长市合一）","数字程控电话交换设备"
"609010100","6090101","车载会议电视系统","会议电视"
"602000000","602","微波通信","应急通信设备"
"607000000","607","交换","应急通信设备"
"602020000","60202","数字一点多址微波","微波通信"
"605010000","60501","模拟设备","移动"
"609040000","60904","指挥车","配套装备"
"601010200","6010102","固定站","甚小天线地球站（VSAT）"
"601030500","6010305","卫星通信系统（海事卫星通信C站）","海事卫星通信"
"602020200","6020202","一点多址外围站","数字一点多址微波"
"603010100","6030101","车载特高频（A、B、C系统）","模拟设备"
"606010300","6060103","0400W车载短波电台","电台"
"607010400","6070104","集装箱交换机04000线","数字程控电话交换设备"
"701010100","7010101","移动专用交换机(MSC)","电路域设备"
"701010201","701010201","机框","媒体网关控制器(MGW)"
"701010302","701010302","接口板","归属位置寄存器设备（HLR）"
"701010400","7010104","移动交换仿真设备 (MSCe)","电路域设备"
"701010402","701010402","接口板","移动交换仿真设备 (MSCe)"
"701010501","701010501","机框","一级汇接移动交换机(TMSC1）"
"701010502","701010502","接口板","一级汇接移动交换机(TMSC1）"
"701010503","701010503","系统板","一级汇接移动交换机(TMSC1）"
"701010703","701010703","系统板","归属位置寄存器设备仿真(HLRe)"
"701010800","7010108","G/C网关设备","电路域设备"
"701020200","7010202","认证授权计费系统(AAA）","分组域设备"
"701020500","7010205","NTP设备","分组域设备"
"701020600","7010206","边界网关（BG）","分组域设备"
"701020601","701020601","机框","边界网关（BG）"
"701020700","7010207","PI路由器","分组域设备"
"701021100","7010211","深度包检测设备DPI","分组域设备"
"701021200","7010212","WIFI接入网关（WAG）","分组域设备"
"701030100","7010301","综合业务配置平台(ISPP）","综合业务配置系统"
"701040100","7010401","服务器","操作维护中心设备系统（OMC-S）"
"701050000","70105","EPC增强型数据核心网","移动通信交换设备"
"701050300","7010503","HRPD服务网关","EPC增强型数据核心网"
"701050600","7010506","策略和计费规则功能","EPC增强型数据核心网"
"701051000","7010510","DNS域名服务器","EPC增强型数据核心网"
"701051200","7010512","综合承载网关","EPC增强型数据核心网"
"702010000","70201","智能业务数据点（SDP）","移动通信智能网设备"
"702010101","702010101","路由器机框","SDP路由器"
"702010400","7020104","SDP计算机","智能业务数据点（SDP）"
"702010500","7020105","SDP调制解调器","智能业务数据点（SDP）"
"702010700","7020107","SDP磁盘阵列","智能业务数据点（SDP）"
"702011100","7020111","SDP维护操作终端","智能业务数据点（SDP）"
"702020000","70202","业务控制设备（SCP）","移动通信智能网设备"
"702020101","702020101","路由器机框","SCP路由器"
"702020102","702020102","路由器板卡","SCP路由器"
"702020400","7020204","SCP计算机","业务控制设备（SCP）"
"702020500","7020205","SCP调制解调器","业务控制设备（SCP）"
"702021000","7020210","SCP打印终端","业务控制设备（SCP）"
"702021100","7020211","SCP维护操作终端","业务控制设备（SCP）"
"702030102","702030102","路由器板卡","SMP路由器"
"702030400","7020304","SMP计算机","业务管理设备（SMP）"
"702030800","7020308","SMP局域网交换机","业务管理设备（SMP）"
"702030900","7020309","SMP告警显示设备","业务管理设备（SMP）"
"702040100","7020401","智能业务接入点（SMAP）设备","智能业务接入点（SMAP）"
"702060400","7020604","接口（板）设备","智能IP外设"
"702070100","7020701","网管服务器","智能网网管设备"
"401040700","4010407","气象传真机","传真设备"
"402020600","4020206","以太网桥  ","分组交换网（PAC）终端设备"
"402040100","4020401","数字数据网节点机","数字数据网（DDN）网络设备"
"402040600","4020406","数字数据网管设备","数字数据网（DDN）网络设备"
"402070300","4020703","帧中继传输设备","帧中继网（FR）网络设备"
"402090200","4020902","附属设备 ","帧中继网（FR）其它配套设备"
"402100400","4021004","ATM终端设备","异步传输模式（ATM）设备"
"403020400","4030204","独享服务器 ","IP网管设备"
"403030400","4030304","其他安全设备","IP网络安全设备"
"403040300","4030403","认证服务器AAA（含固网和WIFI）","运营支撑系统设备"
"403051000","4030510","深度包检测设备（DPI）","IP其它设备"
"404030100","4040301","二合一前端设备","二合一接入系统"
"404050100","4040501","管理服务器","虚拟专用网（VPN）"
"404080200","4040802","传真网络路由器","传真存储转发系统设备"
"404090500","4040905","电子数据通信设备","电子数据交换（EDI）系统"
"401040800","4010408","报纸传真机","传真设备"
"402030100","4020301","调制解调器 ","分组交换网（PAC）其它配套设备"
"402070400","4020704","帧中继网管设备","帧中继网（FR）网络设备"
"404070200","4040702","离线编码设备","网络电视（IPTV）设备"
"402010401","402010401","分组拆装设备（PAD）机框","分组拆装设备（PAD）"
"402040102","402040102","数字数据网节点机板卡","数字数据网节点机"
"402070101","402070101","专用帧中继交换机机框","专用帧中继交换机"
"402070301","402070301","帧中继传输设备机框","帧中继传输设备"
"403010401","403010401","MSE机框","多业务接入设备（MSE）"
"402010101","402010101","分组交换节点机机框","分组交换节点机"
"404000000","404","增值业务平台设备","数据通信设备"
"401010000","40101","传输设备","电报传真设备"
"404040000","40404","IP电话","增值业务平台设备"
"406010000","40601","网络设备","内容分发网络（CDN）"
"402100000","40210","异步传输模式（ATM）设备","基础数据网"
"401020200","4010202","电报呼叫整流器","电报设备"
"401030200","4010302","用户电报和低速数据布控交换机","非话交换设备"
"402010300","4020103","分组交换网控系统（NCS）","分组交换网（PAC）网络设备"
"402060500","4020605","DDF/IDF混合配线架","数字数据网（DDN）其它配套设备"
"402100100","4021001","骨干交换机","异步传输模式（ATM）设备"
"403030300","4030303","流量监测设备","IP网络安全设备"
"403040700","4030407","高层交换机（四七层交换机）","运营支撑系统设备"
"404010800","4040108","制式转换器","混合光缆/电缆（HFC）系统"
"404040100","4040401","IP电话网关","IP电话"
"404090200","4040902","EDI网络网关","电子数据交换（EDI）系统"
"405010300","4050103","单元分配架","配套通信设备（增值业务）"
"404080100","4040801","传真网络服务器","传真存储转发系统设备"
"406020200","4060202","机架式服务器","CDN设备"
"403020200","4030202","防火墙","IP网管设备"
"403051100","4030511","网桥","IP其它设备"
"402010402","402010402","分组拆装设备（PAD）板卡","分组拆装设备（PAD）"
"402060502","402060502","IDF配线单元","DDF/IDF混合配线架"
"402070202","402070202","帧中继节点机板卡","帧中继节点机"
"402040401","402040401","2M复用设备（集中器）板卡","2M复用设备（集中器）"
"402110200","4021102","接入服务器","宽带综合业务数字网服务器"
"402120000","40212","宽带综合业务数字网可视图文设备","基础数据网"
"403010102","403010102","交换机板卡","局域网交换机（二三层交换机）"
"403010300","4030103","宽带接入服务器（BRAS）","IP骨干设备"
"403010402","403010402","MSE板卡","多业务接入设备（MSE）"
"404080400","4040804","传真转发终端设备","传真存储转发系统设备"
"404090101","404090101","路由器机框","EDI网络路由器"
"404090800","4040908","EDI网管操作系统","电子数据交换（EDI）系统"
"405010200","4050102","监控系统","配套通信设备（增值业务）"
"405010500","4050105","打印机","配套通信设备（增值业务）"
"406000000","406","内容分发网络（CDN）","数据通信设备"
"406010200","4060102","路由器","网络设备"
"406020000","40602","CDN设备","内容分发网络（CDN）"
"401020000","40102","电报设备","电报传真设备"
"402040000","40204","数字数据网（DDN）网络设备","基础数据网"
"403030000","40303","IP网络安全设备","IP网"
"404050000","40405","虚拟专用网（VPN）","增值业务平台设备"
"401010100","4010101","频分复用载报机（FDM）","传输设备"
"401020400","4010204","自动应急调度台","电报设备"
"401021000","4010210","数据电报终端设备","电报设备"
"401030500","4010305","用户电报和低速数据程控交换机","非话交换设备"
"402010100","4020101","分组交换节点机","分组交换网（PAC）网络设备"
"402040200","4020402","低阶数字交叉连接设备（DACS）","数字数据网（DDN）网络设备"
"402060700","4020607","ODF配线架","数字数据网（DDN）其它配套设备"
"402070500","4020705","帧中继专用计算机","帧中继网（FR）网络设备"
"402100200","4021002","边缘交换机","异步传输模式（ATM）设备"
"402120200","4021202","可视图文终端设备","宽带综合业务数字网可视图文设备"
"403030100","4030301","防火墙","IP网络安全设备"
"403030600","4030306","流量清洗设备","IP网络安全设备"
"403040600","4030406","其他服务器","运营支撑系统设备"
"403050400","4030504","机架式调制解调器","IP其它设备"
"404010400","4040104","复分器","混合光缆/电缆（HFC）系统"
"404010900","4040109","数字卫星接收机","混合光缆/电缆（HFC）系统"
"404030200","4040302","授权系统","二合一接入系统"
"404040400","4040404","IP电话业务受理系统","IP电话"
"404090700","4040907","EDI计算机","电子数据交换（EDI）系统"
"405010600","4050106","集线器","配套通信设备（增值业务）"
"401040400","4010404","相片磁带转换机","传真设备"
"402060901","402060901","数字配线模块DDM","数字分配架(DDF)"
"403010301","403010301","BRAS机框","宽带接入服务器（BRAS）"
"403040701","403040701","高层交换机机框","高层交换机（四七层交换机）"
"406010101","406010101","机框","交换器"
"401000000","401","电报传真设备","数据通信设备"
"401040000","40104","传真设备","电报传真设备"
"402020000","40202","分组交换网（PAC）终端设备","基础数据网"
"403020000","40302","IP网管设备","IP网"
"404010000","40401","混合光缆/电缆（HFC）系统","增值业务平台设备"
"404070000","40407","网络电视（IPTV）设备","增值业务平台设备"
"501000000","501","管理支撑系统MSS","企业信息系统设备"
"501010000","50101","组网设备","管理支撑系统MSS"
"501010100","5010101","路由器","组网设备"
"501010202","501010202","局域网交换机板卡","局域网交换机"
"501010300","5010103","光纤通道交换机","组网设备"
"501010500","5010105","调制解调器","组网设备"
"501010600","5010106","协议转换器","组网设备"
"501010702","501010702","防火墙板卡","防火墙"
"501010900","5010109","集线器","组网设备"
"501011200","5010112","网管存储设备","组网设备"
"501020200","5010202","工作站","计算机主设备"
"501020300","5010203","小型机","计算机主设备"
"501030200","5010302","磁盘阵列","存储设备"
"501030400","5010304","ZIP驱动器","存储设备"
"502010101","502010101","路由器机框","路由器"
"502010400","5020104","线路复用设备","组网设备"
"502010500","5020105","调制解调器","组网设备"
"502010601","502010601","协议转换器机框","协议转换器"
"502010700","5020107","防火墙","组网设备"
"502010702","502010702","防火墙板卡","防火墙"
"502011400","5020114","标准机架","组网设备"
"502011500","5020115","负载均衡设备","组网设备"
"502030200","5020302","磁盘阵列","存储设备"
"502040000","50204","数据采集设备","长途交换网业务支撑系统BSS"
"503010000","50301","组网设备","本地交换网业务支撑系统BSS"
"503010301","503010301","光纤通道交换机机框","光纤通道交换机"
"503010302","503010302","光纤通道交换机板卡","光纤通道交换机"
"503010501","503010501","调制解调器板卡","调制解调器"
"503010900","5030109","集线器","组网设备"
"503011000","5030110","光转换器","组网设备"
"503011500","5030115","负载均衡设备","组网设备"
"503020300","5030203","小型机","计算机主设备"
"503030000","50303","存储设备","本地交换网业务支撑系统BSS"
"503030100","5030301","磁带库","存储设备"
"504010101","504010101","路由器机框","路由器"
"504010302","504010302","光纤通道交换机板卡","光纤通道交换机"
"504010600","5040106","协议转换器","组网设备"
"504010700","5040107","防火墙","组网设备"
"504011000","5040110","光转换器","组网设备"
"504011001","504011001","光转换器板卡","光转换器"
"504020100","5040201","服务器","计算机主设备"
"504020500","5040205","接入服务器","计算机主设备"
"504030000","50403","存储设备","智能网业务支撑系统BSS"
"504040100","5040401","数据采集设备","数据采集设备"
"505000000","505","数据通信网业务支撑系统BSS","企业信息系统设备"
"505010100","5050101","路由器","组网设备"
"505010302","505010302","光纤通道交换机板卡","光纤通道交换机"
"505010500","5050105","调制解调器","组网设备"
"505010601","505010601","协议转换器机框","协议转换器"
"505010602","505010602","协议转换器板卡","协议转换器"
"505010900","5050109","集线器","组网设备"
"505011500","5050115","负载均衡设备","组网设备"
"505020000","50502","计算机主设备","数据通信网业务支撑系统BSS"
"505020100","5050201","服务器","计算机主设备"
"505020300","5050203","小型机","计算机主设备"
"505020600","5050206","大型一体机","计算机主设备"
"505030000","50503","存储设备","数据通信网业务支撑系统BSS"
"505030300","5050303","光盘库","存储设备"
"506010102","506010102","路由器板卡","路由器"
"506010200","5060102","局域网交换机","组网设备"
"802010701","802010701","路由器机框","路由器"
"802010801","802010801","交换机机框","交换机"
"802010802","802010802","交换机板卡","交换机"
"802010901","802010901","负载均衡设备机框","负载均衡设备"
"802011000","8020110","防火墙","移动/宽带业务管理平台(ISMP)"
"802011300","8020113","光转换器","移动/宽带业务管理平台(ISMP)"
"802020100","8020201","服务器","领航平台"
"802020500","8020205","磁盘阵列","领航平台"
"802020801","802020801","交换机机框","交换机"
"802020802","802020802","交换机板卡","交换机"
"802020902","802020902","负载均衡设备板卡","负载均衡设备"
"802021200","8020212","防DDoS设备","领航平台"
"802021300","8020213","光转换器","领航平台"
"802030300","8020303","KVM和机架内维护终端","统一认证平台(UBB)"
"802030600","8020306","光纤通道交换机","统一认证平台(UBB)"
"802030800","8020308","交换机","统一认证平台(UBB)"
"802030801","802030801","交换机机框","交换机"
"802030902","802030902","负载均衡设备板卡","负载均衡设备"
"802031200","8020312","防DDoS设备","统一认证平台(UBB)"
"802040000","80204","其他管理平台","管理类平台"
"802040200","8020402","小型机","其他管理平台"
"802040400","8020404","磁带库","其他管理平台"
"802040500","8020405","磁盘阵列","其他管理平台"
"802040802","802040802","交换机板卡","交换机"
"802040901","802040901","负载均衡设备机框","负载均衡设备"
"802041100","8020411","IPS设备","其他管理平台"
"803010000","80301","无线市话短信设备","能力类平台"
"803010200","8030102","服务器","无线市话短信设备"
"803010300","8030103","接口机","无线市话短信设备"
"803010600","8030106","路由器","无线市话短信设备"
"803020300","8030203","短消息中心","固网短信设备"
"803020400","8030204","AAA服务器","固网短信设备"
"803030400","8030304","磁带库","短信中心"
"803030700","8030307","路由器","短信中心"
"803030802","803030802","交换机板卡","交换机"
"803030901","803030901","负载均衡设备机框","负载均衡设备"
"803031100","8030311","IPS设备","短信中心"
"803031500","8030315","流量监测设备","短信中心"
"803031600","8030316","ZIP驱动器","短信中心"
"803040600","8030406","光纤通道交换机","短信业务网关"
"803040701","803040701","路由器机框","路由器"
"803040900","8030409","负载均衡设备","短信业务网关"
"803040902","803040902","负载均衡设备板卡","负载均衡设备"
"803041300","8030413","光转换器","短信业务网关"
"803050100","8030501","服务器","短信互通网关"
"803050600","8030506","光纤通道交换机","短信互通网关"
"803050701","803050701","路由器机框","路由器"
"803050902","803050902","负载均衡设备板卡","负载均衡设备"
"803051000","8030510","防火墙","短信互通网关"
"803060000","80306","智能短信平台","能力类平台"
"704000000","704","室内（小区）覆盖系统","移动通信设备"
"701040000","70104","操作维护中心设备系统（OMC-S）","移动通信交换设备"
"703050000","70305","移动基地台操作维护中心设备（OMC-R）","移动通信无线网设备"
"705020000","70502","配套机架/机柜","移动通信其他设备"
"702050000","70205","智能业务生成环境（SCEP）系统","移动通信智能网设备"
"801010100","8010101","服务器","云资源池设备"
"801010200","8010102","小型机","云资源池设备"
"801010600","8010106","光纤通道交换机","云资源池设备"
"801010800","8010108","交换机","云资源池设备"
"801010801","801010801","交换机机框","交换机"
"801010902","801010902","负载均衡设备板卡","负载均衡设备"
